ENSG	ncbi_geneid	gene	ON_score	PD_log2fc1 (PMID:37347276)	PD_log2fc2 (PMID: 27611585)	PD_log2fc3 (PMID: 33390883)	TWAS	availability_association	Evidence	PD_score	gene2pubmed_score	PMIDs_PD	PMIDs_NCBI
ENSG00000180739	53637	S1PR5	24	0.965679043	NotFound	NotFound	NotFound	no	-	0	41	-	"2834384, 10799507, 11069896, 11705398, 12044878, 12234605, 12427546, 12477932, 12648236, 14702039, 15057824, 15489334, 15530552, 16303743, 16344560, 17918267, 18577758, 19211033, 19474291, 20085233, 20950786, 21873635, 22541110, 22715976, 23551178, 24602016, 24903384, 25601519, 26186194, 27868302, 28298427, 28351953, 28514442, 29248494, 32296183, 32322062, 32393512, 32513696, 33845483, 33961781, 34271437"
ENSG00000230487	114796	PSMG3-AS1	-21	-0.381600304	-4.249602996	NotFound	NotFound	no	-	0	12	-	"11572484, 12477932, 14702039, 16344560, 31661146, 31753913, 32471413, 32529538, 33849377, 34751795, 37023254, 37946320"
ENSG00000167191	51704	GPRC5B	-34	NotFound	0.513039015	NotFound	NotFound	yes	OpenTargets	1	44	24391664	"10493829, 10783259, 10945465, 12477932, 14702039, 15489334, 16303743, 16344560, 16502470, 18029348, 19056867, 20301707, 20424473, 20935630, 21557262, 21873635, 21988832, 23169819, 23251661, 23376485, 23533145, 23563607, 24404583, 24412205, 24561123, 24729846, 25231870, 26186194, 28298427, 28514442, 29987050, 30021884, 30086884, 30639242, 30947744, 31104767, 31285284, 31941358, 33961781, 34100078, 35044719, 35046932, 36682796, 37616343"
ENSG00000178826	135932	TMEM139	22	1.155691244	NotFound	NotFound	NotFound	no	-	0	18	-	"8889548, 12477932, 12690205, 12975309, 15231748, 16303743, 16344560, 16712791, 17213182, 19773279, 26049106, 26186194, 28514442, 30021884, 32296183, 33961781, 35044719, 35302694"
ENSG00000176046	26471	NUPR1	23	NotFound	0.728078309	0.6137	twas	no	-	0	101	-	"9405444, 10092851, 10493524, 10493829, 11056169, 11940591, 12174869, 12477932, 15342556, 15489334, 15781258, 15854263, 16101158, 16294328, 16300740, 16478804, 16628001, 17016631, 17101797, 17116693, 18690848, 19153668, 19650074, 19723804, 19915574, 19942374, 19946894, 20181828, 20335521, 20890585, 21344397, 21873635, 21988832, 22493353, 22565310, 22821859, 22858377, 22899799, 22938721, 22961798, 23047430, 23128233, 23443904, 24205110, 24497499, 25056123, 25126861, 25201988, 25899918, 25924802, 26062422, 26173068, 26392315, 26617245, 27031958, 27046343, 27285315, 27336713, 27548521, 28000106, 28514442, 28720707, 29130426, 30015974, 30267804, 30451898, 31149049, 31325636, 31344041, 31590125, 31971825, 32266819, 32513898, 32780723, 32810364, 32814053, 32835767, 32933064, 33155841, 33332746, 33385445, 33542201, 33566371, 33649793, 33760183, 33793788, 33801927, 33920455, 33961781, 34030133, 34314755, 34680086, 35350907, 35462576, 35660538, 35790270, 35944360, 36468653, 37566478, 37807730, 37879429"
ENSG00000005381	4353	MPO	22	NotFound	0.428907926	NotFound	NotFound	yes	"OpenTargets,PubChem"	70	673	"24277448, 35739985, PMC10123376, 37058998, 31175983, 16014720, 26137956, 37542020, 34455146, 32050431, 28466093, 36107382, 27343997, 23593274, 37150212, 24069051, 35453292, 37754267, 34016561, 36805920, 26349644, 36768971, 33052927, 26509551, 32877430, 33445746, 33573686, 33535986, 31611761, 25995825, 26487910, 27534533, 32842621, 27650074, 29649511, 25446674, 9698098, 32040827, 25752913, 10488564, 29217173, 20566832, 27682361, 27026709, 21685323, 29543651, 30930291, 33684423, 33639075, 16959471, 17346675, 18554520, 32706197, 10574926, 27281130, 12588182, 24045063, 25243152, 21620967, 28595532, 10747881, 20882760, 23504289, 26751079, 29534526, 29904013, 30011811, 30200569, 18985485, 34986781"	"1320128, 1334087, 1703177, 2154223, 2444596, 2552418, 2820530, 2829220, 2884926, 2903767, 2981589, 3029127, 3031585, 3654979, 7530510, 7809065, 7840679, 7904599, 8037771, 8078496, 8142659, 8383257, 8390465, 8530055, 8621627, 8718890, 9097926, 9175709, 9354683, 9637725, 10766826, 10772654, 10777476, 10801811, 10828600, 11087769, 11090610, 11147929, 11161635, 11179831, 11423389, 11434421, 11705390, 11774269, 11794452, 11811524, 11813987, 11840286, 11861298, 11895912, 11907569, 11943609, 11956078, 11960308, 11981455, 11986950, 12027420, 12052532, 12057865, 12089442, 12111688, 12135010, 12164325, 12209361, 12355548, 12393699, 12397651, 12432558, 12460800, 12477932, 12496042, 12496043, 12515618, 12565898, 12606047, 12694338, 12707270, 12729191, 12773517, 12782337, 12792137, 12800195, 12810834, 12818404, 12861032, 12915675, 12946561, 12950060, 12952835, 12969520, 14580687, 14617020, 14626895, 14646692, 14668325, 14716779, 14729580, 14730210, 14761515, 14972011, 15006595, 15023809, 15031357, 15068388, 15108282, 15159316, 15184258, 15196853, 15199549, 15203186, 15222689, 15255951, 15299090, 15304260, 15331175, 15350145, 15379210, 15492293, 15504976, 15507752, 15507753, 15507754, 15507759, 15507760, 15507769, 15507770, 15507771, 15536330, 15538122, 15600254, 15661916, 15705913, 15714076, 15718477, 15734083, 15829318, 15850382, 15884126, 15885363, 15894800, 15901995, 15911707, 15967795, 15996936, 16084535, 16107886, 16148002, 16157195, 16170238, 16195240, 16221222, 16267254, 16289072, 16297214, 16326702, 16335952, 16385446, 16430221, 16476719, 16484808, 16497665, 16502470, 16504169, 16543247, 16606792, 16641309, 16732739, 16740002, 16758302, 16829688, 16844322, 16883063, 16901848, 16956579, 17017121, 17042493, 17119198, 17145829, 17149600, 17159117, 17161406, 17178637, 17209550, 17259657, 17304047, 17337886, 17355643, 17381162, 17424838, 17428572, 17438335, 17440118, 17451207, 17479404, 17483704, 17521322, 17549373, 17582430, 17595772, 17601350, 17613595, 17650507, 17701359, 17704068, 17726014, 17767014, 17855424, 17869258, 17875305, 17885617, 17896805, 17922231, 17925548, 17980933, 18042261, 18051367, 18177875, 18205184, 18214807, 18237195, 18258609, 18271379, 18273043, 18280811, 18296681, 18314009, 18322643, 18331758, 18340529, 18344624, 18359301, 18435917, 18440308, 18441517, 18447907, 18452102, 18466756, 18505072, 18617697, 18632753, 18636124, 18642288, 18662591, 18667997, 18676680, 18676870, 18778866, 18784359, 18836923, 18854777, 18930040, 18976975, 18977241, 19012698, 19030913, 19031316, 19056867, 19059911, 19081093, 19126404, 19129321, 19138806, 19140875, 19147137, 19162321, 19170196, 19201174, 19237222, 19255063, 19255975, 19322015, 19339270, 19345674, 19362143, 19410253, 19420105, 19423521, 19423540, 19479063, 19490915, 19505917, 19524564, 19538950, 19543083, 19544176, 19556446, 19578796, 19589271, 19593802, 19608745, 19614918, 19622717, 19625176, 19626395, 19641039, 19646343, 19651119, 19651670, 19692168, 19726691, 19729473, 19729601, 19731237, 19735726, 19752340, 19758957, 19761988, 19788922, 19789190, 19814685, 19816870, 19822138, 19828014, 19857655, 19857676, 19877306, 19878569, 19897513, 19902075, 19913121, 19916937, 19963114, 19995403, 20007081, 20026093, 20032816, 20043647, 20064972, 20080069, 20091863, 20136960, 20146436, 20158910, 20201999, 20228064, 20237496, 20301340, 20305551, 20332087, 20332596, 20360068, 20364045, 20364135, 20399194, 20406964, 20413430, 20418356, 20437850, 20438785, 20485444, 20536280, 20568015, 20592714, 20598694, 20628086, 20636397, 20643115, 20644561, 20646231, 20651370, 20663217, 20673159, 20673504, 20677014, 20714866, 20732340, 20848159, 20933108, 20951227, 20974672, 20974816, 21126969, 21176345, 21204009, 21292302, 21327394, 21331575, 21407237, 21461569, 21540635, 21630459, 21657847, 21674360, 21699462, 21739466, 21779191, 21792769, 21795425, 21827295, 21856025, 21873635, 21880315, 21880720, 21884783, 21907168, 21917261, 21934609, 21950958, 21967851, 22014237, 22094928, 22097722, 22126566, 22140557, 22145905, 22219194, 22264587, 22331023, 22352991, 22355012, 22427832, 22462773, 22465269, 22659527, 22703762, 22739978, 22802447, 22902565, 22912422, 22949765, 22959522, 22985908, 23016839, 23059132, 23066164, 23100268, 23124356, 23167629, 23260186, 23268804, 23306200, 23342893, 23364307, 23376485, 23384293, 23436245, 23521574, 23532856, 23533145, 23535901, 23537682, 23583798, 23620142, 23624305, 23666398, 23691142, 23707661, 23734221, 23746122, 23773345, 23832536, 23840365, 23893381, 23908111, 23943392, 23943394, 23979979, 23991124, 24035742, 24036021, 24083736, 24267244, 24267251, 24271323, 24291125, 24291281, 24330098, 24338120, 24340057, 24355864, 24385592, 24391750, 24436331, 24457336, 24530881, 24534704, 24567965, 24583458, 24591758, 24631066, 24704632, 24713525, 24719228, 24748187, 24786234, 24851620, 24882572, 24915973, 24976018, 24981860, 25002508, 25056433, 25141318, 25261597, 25394640, 25482861, 25530680, 25614581, 25637720, 25645918, 25697357, 25701357, 25759391, 25770662, 25823564, 25922506, 26066543, 26107902, 26132583, 26179062, 26186194, 26229458, 26307104, 26319155, 26323935, 26386352, 26392121, 26431910, 26541603, 26567811, 26576922, 26697531, 26714302, 26797862, 26833773, 26841645, 26978734, 27013444, 27048452, 27129797, 27197583, 27579896, 27643667, 27706591, 27752292, 27797335, 27821628, 27836774, 27884085, 27903408, 27928450, 28013526, 28058679, 28069011, 28131839, 28135312, 28167245, 28187981, 28260049, 28279572, 28281453, 28328864, 28339364, 28348079, 28397206, 28466093, 28514442, 28575531, 28602123, 28645072, 28675297, 28682877, 28764808, 28905321, 29041000, 29114094, 29212118, 29306105, 29306874, 29383971, 29453088, 29467282, 29496995, 29509190, 29540402, 29577557, 29585927, 29590135, 29614255, 29618370, 29631687, 29875311, 29937309, 29970677, 29975476, 30021884, 30056589, 30207165, 30237127, 30266105, 30278820, 30300402, 30343390, 30448568, 30456985, 30539859, 30626536, 30641731, 30726210, 30824926, 30938436, 31175983, 31236695, 31247619, 31341419, 31343991, 31358527, 31531730, 31536960, 31653520, 31754972, 31864385, 31991297, 32050431, 32277104, 32314165, 32383462, 32544357, 32674726, 32707033, 32734361, 32758447, 32758448, 32761433, 32794199, 32814053, 32928076, 32962819, 33023023, 33027796, 33048471, 33091151, 33228505, 33285335, 33460291, 33569703, 33590771, 33609556, 33661166, 33864596, 33886672, 33961781, 34324318, 34379628, 34549902, 34571507, 34611229, 34737733, 34741558, 34746027, 34795231, 35164468, 35331340, 35708757, 35761024, 35833506, 35999709, 36011324, 36048150, 36259166, 36300783, 36325594, 36463116, 36730508, 36912080, 37058998, 37280612, 37288959, 37569455, 37656254, 37776707, 37982229, 38164522"
ENSG00000008710	5310	PKD1	22	NotFound	NotFound	0.3899	NotFound	no	-	0	354	-	"1577479, 2821260, 7581371, 7633406, 7663510, 7736581, 7894481, 8004675, 8554072, 8643665, 8765322, 8792818, 8981910, 9150733, 9171830, 9177229, 9192675, 9199561, 9259200, 9285784, 9326937, 9345095, 9521593, 9792824, 9889186, 9921908, 10097141, 10200984, 10339594, 10364515, 10493829, 10577909, 10647901, 10729710, 10770959, 10854095, 10861291, 10923040, 10987650, 11012875, 11058904, 11106764, 11113628, 11115377, 11140688, 11216660, 11274246, 11316854, 11406351, 11414761, 11571556, 11581269, 11691639, 11698076, 11728985, 11752017, 11836366, 11857740, 11891195, 11901144, 11912216, 11961010, 12007403, 12048202, 12220456, 12482949, 12665801, 12819240, 12946628, 14596619, 14718571, 15001556, 15060061, 15087466, 15146197, 15231748, 15284290, 15326289, 15382167, 15466861, 15548533, 15563610, 15623513, 15692563, 15738054, 15748886, 15780076, 15870383, 16014040, 16038619, 16215947, 16219758, 16311606, 16319969, 16565258, 16741147, 16767665, 16778383, 16790429, 17081983, 17090781, 17102641, 17110338, 17396115, 17437137, 17437318, 17451746, 17474147, 17525154, 17540339, 17574468, 17671167, 17890878, 17980165, 18060739, 18263686, 18289888, 18298949, 18417541, 18422703, 18566106, 18632682, 18791038, 18922886, 19011111, 19056867, 19135240, 19158352, 19158373, 19165178, 19194729, 19285554, 19331813, 19443633, 19460752, 19556541, 19686598, 19759016, 19854836, 20168298, 20169078, 20201926, 20206434, 20219615, 20301299, 20301424, 20301743, 20388565, 20557879, 20558538, 20674666, 20808796, 20837139, 20856870, 20923779, 20937836, 20980620, 21048031, 21076887, 21115670, 21126580, 21142036, 21314639, 21332816, 21694639, 21775626, 21865467, 21867693, 21873635, 21983717, 22031115, 22034075, 22034641, 22227580, 22237240, 22367170, 22409330, 22426824, 22456092, 22508176, 22570239, 22582392, 22675472, 22872635, 23001567, 23014991, 23300259, 23390129, 23431072, 23431742, 23439951, 23475492, 23496908, 23567275, 23624871, 23848298, 23850273, 23985799, 24009235, 24189120, 24193408, 24385601, 24416790, 24462114, 24491980, 24575920, 24611717, 24683199, 24694054, 24707946, 24821069, 24907393, 24925719, 24939912, 25111597, 25123959, 25128071, 25180832, 25203322, 25287328, 25355409, 25365220, 25367197, 25491204, 25531466, 25741140, 25757501, 25880449, 25907116, 26096820, 26139440, 26286632, 26460568, 26632257, 26764245, 26775353, 26823553, 26932689, 26950445, 26984954, 26991955, 27179075, 27214281, 27499327, 27567292, 27577987, 27699453, 27775029, 27782177, 27785750, 27835667, 27984604, 28076932, 28077787, 28154010, 28154160, 28186980, 28298427, 28375157, 28552828, 28578020, 28604956, 28620080, 28825164, 28827396, 28870863, 28904368, 28983800, 28986522, 29034881, 29380239, 29465084, 29472562, 29507755, 29529603, 29590654, 29633482, 29676528, 29860066, 29896735, 29931260, 29973168, 29987050, 30077613, 30093605, 30185468, 30230107, 30333007, 30388220, 30419840, 30424739, 30540438, 30816285, 30858458, 30895336, 31052533, 31079206, 31088850, 31167779, 31176519, 31251475, 31740684, 31862184, 32001768, 32166738, 32171525, 32475690, 32505451, 32513696, 32561414, 32663194, 32665550, 32724471, 32799769, 32816041, 32823016, 32970388, 32985371, 33111320, 33164752, 33602752, 33656806, 33939064, 33961781, 33964006, 33994377, 34064452, 34175641, 34257392, 34324862, 34716216, 34858418, 34876325, 34962918, 35142283, 35256949, 35595103, 35748872, 35914814, 36000373, 36029107, 36281931, 36299464, 36497140, 36581342, 37152951, 37272738, 37372410, 37468838, 37509056, 37543885, 37681898, 37689310, 37812360"
ENSG00000080573	50509	COL5A3	-30	-0.589118904	NotFound	0.4952	NotFound	no	-	0	25	-	"1571108, 1916105, 6501291, 7115902, 7346227, 8535602, 9443080, 10722718, 11423559, 15136578, 15316020, 19012342, 21873635, 23376485, 25798074, 26910848, 27559042, 28344315, 28675934, 29168291, 30575818, 31300519, 34315543, 36736316, 37158802"
ENSG00000182263	55137	FIGN	-20	NotFound	0.439030486	NotFound	NotFound	no	-	0	26	-	"11017077, 14702039, 15815621, 19240061, 19680635, 19744961, 19913121, 20628086, 21145461, 21572416, 21873635, 21909110, 22672901, 24954895, 26186194, 28302752, 28514442, 28534241, 29507755, 31586073, 32296183, 32393512, 33162817, 33961781, 35140242, 37689310"
ENSG00000258725	100507118	PRC1-AS1	40	-0.516226843	NotFound	NotFound	NotFound	no	-	0	4	-	"16344560, 20581827, 25038754, 29117863"
